user_message,anger_level,frustration_level,anxiety_level,calm_level,sentiment_negative,sentiment_neutral,sentiment_positive,intent,urgency,agent_emotion,tone,empathy_level,verbosity,formality,assertiveness,apology_required,reassurance_level,solution_speed,boundary_setting,explanation_depth
I can't believe how poorly I've been treated. This is ridiculous!,0.625,0.97,0.393,0.18,0.578,0.047,0.012,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
What are the available options for billing?,0.173,0.12,0.283,0.51,0.391,0.633,0.164,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
Your support team is fantastic. Keep up the great work!,0.018,0.018,0.061,0.857,0.043,0.058,0.884,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I need to speak to a supervisor immediately.,0.57,0.717,0.347,0.091,0.893,0.06,0.103,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
Your product broke after just 10 days. I want a full refund immediately.,0.755,0.428,0.343,0.051,0.533,0.285,0.193,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
"I was worried, but you fixed everything perfectly. Thank you!",0.081,0.03,0.02,0.905,0.044,0.024,0.849,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I've had enough of the runaround. Escalate this immediately.,0.517,0.964,0.304,0.133,0.656,0.156,0.109,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
Thank you so much! John was incredibly helpful!,0.018,0.097,0.155,0.982,0.089,0.12,0.977,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I want this escalated to your highest level. This is unacceptable.,0.544,0.678,0.218,0.065,0.694,0.081,0.166,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
Is it possible to change my subscription to the premium plan?,0.071,0.056,0.217,0.57,0.341,0.33,0.396,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I'm extremely disappointed with your service. My order #24680 is delayed.,0.863,0.519,0.102,0.245,0.853,0.219,0.154,complaint,medium,sad,calm,high,medium,high,high,True,low,normal,True,low
I've spent 6 hours trying to resolve this issue with no success.,0.444,0.615,0.146,0.259,0.812,0.099,0.013,complaint,high,empathetic,calm,high,low,high,medium,True,low,fast,False,low
I'm extremely disappointed with your service. My order #11111 is delayed.,0.587,0.595,0.392,0.191,0.944,0.142,0.024,complaint,medium,neutral,neutral,medium,medium,high,medium,True,medium,normal,False,low
Your support team is fantastic. Keep up the great work!,0.071,0.076,0.112,0.931,0.049,0.105,0.828,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
